label,consistency,messages,agree_with_jev,kappa
jev:jev:-,1.0,,,
nim:nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:think_on,0.965,60.0,0.8833333333333333,0.838150289017341
nim:nvidia/nemotron-3-ultra-550b-a55b:think_on,0.9391666666666667,60.0,0.9666666666666667,0.9535243996901627
nim:z-ai/glm-5.3-flash:default,0.9833333333333333,60.0,0.95,0.9313239221671117
openai:gpt-5.6-luna:high,0.9966666666666666,60.0,1.0,1.0
openai:gpt-5.6-luna:low,0.9933333333333334,60.0,1.0,1.0
openai:gpt-5.6-luna:medium,0.99,60.0,0.9833333333333333,0.9768786127167628
openai:gpt-5.6-sol:high,0.9866666666666667,60.0,0.95,0.9292174596932756
openai:gpt-5.6-sol:low,0.9933333333333334,60.0,0.9333333333333333,0.9051383399209486
openai:gpt-5.6-sol:medium,0.9933333333333334,60.0,0.9333333333333333,0.9051383399209486
openai:gpt-5.6-terra:high,0.9966666666666666,60.0,0.9333333333333333,0.9058454295802275
openai:gpt-5.6-terra:low,0.9966666666666666,60.0,0.95,0.9292174596932756
openai:gpt-5.6-terra:medium,0.9866666666666667,60.0,0.95,0.9292174596932756
openai:gpt-6-astra:high,0.9933333333333334,60.0,0.9666666666666667,0.9535243996901627
openai:gpt-6-astra:low,0.99,60.0,0.95,0.9306358381502889
openai:gpt-6-astra:medium,0.9866666666666667,60.0,0.9333333333333333,0.9079754601226994
